Credit_Limit;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Revolving_Bal;Total_Trans_Amt;Total_Trans_Ct;Avg_Utilization_Ratio
7102;26;M;0;Graduate;Single;$60K - $80K;Blue;13;0;2411;41;0
6866;37;M;3;High School;Married;Less than $40K;Blue;26;2389;862;13;0.348
10378;57;M;1;Doctorate;Married;$80K - $120K;Blue;52;1540;1306;32;0.148
13473;47;F;3;High School;Married;Unknown;Blue;43;1335;1593;46;0.099
18178;47;M;4;Graduate;Married;$80K - $120K;Blue;34;0;1837;37;0
8171;48;F;2;Graduate;Single;Unknown;Blue;43;852;1909;52;0.104
1438.3;49;F;4;Uneducated;Married;Less than $40K;Blue;36;0;2170;41;0
8082;35;M;3;Graduate;Married;$80K - $120K;Blue;20;2307;1725;29;0.285
24589;57;M;3;Unknown;Divorced;$60K - $80K;Blue;48;1640;4291;78;0.067
30310;62;F;0;Graduate;Single;Unknown;Silver;49;0;3703;91;0
2967;55;F;2;College;Married;Less than $40K;Blue;36;2129;2177;59;0.718
3092;36;M;2;Graduate;Married;$60K - $80K;Blue;17;1825;2883;61;0.59
1618;54;M;1;High School;Married;$80K - $120K;Blue;42;668;1515;31;0.413
2498;30;F;0;Graduate;Married;Less than $40K;Blue;23;1632;2048;35;0.653
2564;46;M;3;Graduate;Married;$40K - $60K;Blue;41;0;2038;45;0
10540;43;M;3;Graduate;Married;$80K - $120K;Blue;34;1489;1980;45;0.141
13384;34;M;2;Graduate;Married;$120K +;Blue;28;1853;1899;33;0.138
16208;55;M;3;Graduate;Married;$80K - $120K;Blue;48;1278;1842;56;0.079
3049;36;F;2;Unknown;Married;Less than $40K;Blue;27;2198;2617;48;0.721
19214;44;M;1;Graduate;Married;$80K - $120K;Blue;33;0;3407;47;0
3071;39;M;2;Unknown;Married;$60K - $80K;Blue;25;2517;1765;36;0.82
13395;34;M;2;Graduate;Single;$80K - $120K;Blue;29;1678;2650;69;0.125
17126;40;M;3;Graduate;Married;$60K - $80K;Blue;31;1201;3891;79;0.07
8083;42;M;2;College;Single;$60K - $80K;Blue;36;0;3942;84;0
8995;36;M;3;Graduate;Divorced;$40K - $60K;Blue;28;1547;2398;61;0.172
2404;26;F;1;High School;Single;Less than $40K;Blue;13;1198;2692;63;0.498
2807;42;M;1;High School;Married;$40K - $60K;Blue;32;1845;1346;26;0.657
3097;55;M;0;Graduate;Married;$40K - $60K;Blue;36;827;1390;24;0.267
10651;45;M;3;Unknown;Single;$80K - $120K;Blue;37;672;2073;54;0.063
2175;61;M;2;High School;Single;$60K - $80K;Blue;47;1404;3994;64;0.646
28020;41;M;4;College;Married;$120K +;Blue;28;1470;1723;36;0.052
2640;35;F;1;Graduate;Single;Less than $40K;Blue;23;1051;3116;80;0.398
31313;34;M;2;Graduate;Single;$120K +;Blue;27;2152;2555;62;0.069
7304;37;M;2;High School;Married;$80K - $120K;Blue;31;0;2717;63;0
3254;46;M;2;Uneducated;Unknown;$60K - $80K;Blue;32;0;967;24;0
1438.3;26;M;1;College;Divorced;$40K - $60K;Blue;21;0;2660;89;0
3161;54;F;3;High School;Married;Less than $40K;Blue;41;1220;2412;62;0.386
7246;47;F;3;Graduate;Single;Less than $40K;Blue;36;0;777;13;0
3088;56;F;5;Graduate;Married;Less than $40K;Blue;36;2517;2292;54;0.815
13719;42;F;4;Unknown;Single;Less than $40K;Silver;32;1384;3774;63;0.101
4726;30;M;1;Unknown;Married;$40K - $60K;Blue;18;1380;1723;31;0.292
6100;32;M;1;Unknown;Married;Less than $40K;Blue;36;1520;1668;32;0.249
19279;40;M;2;High School;Single;$80K - $120K;Blue;28;1427;1777;56;0.074
3792;33;F;1;Graduate;Married;Less than $40K;Blue;20;1625;1888;39;0.429
2084;64;M;0;Graduate;Married;Less than $40K;Blue;53;1647;1597;37;0.79
34516;33;M;1;High School;Single;$80K - $120K;Blue;28;0;2804;70;0
6849;52;M;3;Post-Graduate;Married;$80K - $120K;Blue;43;2126;1651;43;0.31
2417;59;F;0;Uneducated;Married;Less than $40K;Blue;39;1932;2367;50;0.799
5802;41;F;4;Uneducated;Single;Unknown;Blue;33;2490;3386;53;0.429
2919;38;M;2;Unknown;Married;$40K - $60K;Blue;31;2192;2399;57;0.751
2462;29;M;2;Graduate;Divorced;Less than $40K;Blue;20;2021;2320;57;0.821
1947;43;F;3;Doctorate;Married;Unknown;Blue;38;0;2119;52;0
18563;40;M;3;High School;Single;$80K - $120K;Blue;29;0;2395;45;0
3992;37;F;1;Graduate;Married;Less than $40K;Blue;36;1289;2181;32;0.323
3568;32;M;1;High School;Married;Less than $40K;Blue;14;2175;1913;35;0.61
7776;36;M;2;Graduate;Single;$60K - $80K;Blue;27;831;3063;87;0.107
1438.3;58;M;0;High School;Unknown;$40K - $60K;Blue;42;0;1088;22;0
9355;53;M;3;High School;Married;$80K - $120K;Blue;36;715;1138;38;0.076
19636;37;F;3;Unknown;Single;Unknown;Blue;32;1566;2595;58;0.08
7327;47;M;2;Unknown;Single;$40K - $60K;Blue;36;0;1788;46;0
7049;36;M;1;Uneducated;Single;$120K +;Blue;25;1932;2602;51;0.274
2033;26;F;0;Uneducated;Single;$40K - $60K;Blue;18;1471;2236;55;0.724
5153;38;F;1;Graduate;Married;$40K - $60K;Blue;20;2517;3095;63;0.488
2062;32;F;0;High School;Married;$40K - $60K;Blue;22;1665;2397;41;0.807
2005;37;F;3;Graduate;Single;Less than $40K;Blue;31;1517;2439;61;0.757
2479;26;M;1;Unknown;Single;Less than $40K;Blue;13;828;2225;44;0.334
4589;55;F;1;Graduate;Married;$40K - $60K;Blue;46;1622;1569;33;0.353
2263;35;M;2;Unknown;Married;$80K - $120K;Blue;36;1188;1927;47;0.525
8184;58;M;3;High School;Married;$60K - $80K;Blue;46;1205;2140;49;0.147
9238;32;M;0;Graduate;Single;Unknown;Blue;27;0;2522;68;0
30210;47;M;3;High School;Married;$80K - $120K;Blue;36;1194;3503;65;0.04
6942;32;M;0;Graduate;Single;Less than $40K;Blue;26;0;2657;71;0
14551;56;M;3;High School;Married;$60K - $80K;Blue;37;2517;1373;35;0.173
1438.3;34;F;2;Doctorate;Single;Less than $40K;Blue;13;0;2557;67;0
11332;65;M;0;Unknown;Single;Unknown;Blue;56;633;2758;56;0.056
30967;55;M;2;Uneducated;Married;$120K +;Blue;48;817;1473;35;0.026
7866;43;M;0;High School;Married;$80K - $120K;Blue;36;0;2843;53;0
2718;31;M;2;College;Married;Less than $40K;Blue;21;1920;2570;49;0.706
3084;54;F;1;College;Married;Less than $40K;Blue;36;2517;1446;22;0.816
17302;52;M;3;Graduate;Married;$80K - $120K;Blue;42;1339;1181;30;0.077
12159;48;M;3;College;Divorced;$40K - $60K;Blue;36;1665;1426;34;0.137
2797;54;F;1;High School;Single;Less than $40K;Blue;47;1627;1566;36;0.582
2618;33;M;1;Uneducated;Single;$60K - $80K;Blue;28;1812;3319;86;0.692
1442;26;F;0;Post-Graduate;Single;Less than $40K;Blue;15;1428;1134;26;0.99
2063;30;F;2;Uneducated;Married;Less than $40K;Blue;24;0;1859;43;0
8154;49;F;5;Graduate;Married;Less than $40K;Blue;43;0;2223;72;0
9735;36;F;2;Unknown;Divorced;$40K - $60K;Blue;20;1245;2967;80;0.128
4310;56;M;4;Unknown;Married;$80K - $120K;Blue;49;2229;1645;33;0.517
11450;53;M;3;Uneducated;Married;$80K - $120K;Blue;36;2129;2197;45;0.186
8906;39;M;2;Uneducated;Married;$120K +;Blue;26;0;809;15;0
4245;34;M;3;College;Married;$60K - $80K;Blue;23;1815;1534;34;0.428
21953;53;M;2;College;Married;$80K - $120K;Blue;45;1311;1413;37;0.06
1614;32;M;0;Graduate;Single;$40K - $60K;Blue;21;925;2659;63;0.573
5140;39;M;2;Graduate;Married;$80K - $120K;Blue;22;2517;1842;36;0.49
31762;57;M;1;High School;Married;$120K +;Blue;46;2517;1515;36;0.079
11692;48;F;4;Graduate;Single;Unknown;Blue;40;648;2997;56;0.055
16043;37;M;3;Unknown;Married;$60K - $80K;Blue;30;0;2599;47;0
15488;36;M;1;Graduate;Married;$80K - $120K;Blue;32;1463;2916;50;0.094
2503;39;M;3;College;Divorced;$40K - $60K;Blue;34;2185;4157;58;0.873
3312;31;M;0;Graduate;Divorced;Less than $40K;Blue;36;2491;2670;50;0.752
6269;31;M;2;Graduate;Single;$40K - $60K;Blue;36;1169;2221;57;0.186
20337;36;M;4;Graduate;Single;$60K - $80K;Blue;36;1605;2460;74;0.079
2224;47;F;5;Graduate;Single;Less than $40K;Blue;42;1106;1698;41;0.497
3100;37;M;3;College;Married;$60K - $80K;Blue;19;2517;694;12;0.812
26437;38;M;2;Unknown;Divorced;$60K - $80K;Silver;26;681;2167;57;0.026
9959;39;M;2;Graduate;Married;$80K - $120K;Blue;27;1476;2760;44;0.148
25008;39;M;1;Unknown;Single;$80K - $120K;Blue;36;876;1753;43;0.035
2031;37;M;3;Graduate;Married;$40K - $60K;Blue;36;0;1678;36;0
1654;58;M;1;Graduate;Married;$80K - $120K;Blue;49;1253;1887;60;0.758
4608;58;F;2;Graduate;Married;Less than $40K;Blue;39;1077;1535;31;0.234
3908;37;M;3;Graduate;Married;$40K - $60K;Blue;36;1629;1903;30;0.417
2798;54;M;3;Graduate;Married;$80K - $120K;Blue;46;1256;2631;55;0.449
2551;45;F;3;Uneducated;Single;Less than $40K;Blue;39;2253;3753;63;0.883
8621;36;F;2;Graduate;Married;Unknown;Blue;26;1251;1989;37;0.145
7451;53;M;3;Graduate;Married;$40K - $60K;Blue;43;683;2165;49;0.092
2617;34;F;1;College;Married;Less than $40K;Blue;30;1010;2003;47;0.386
12634;35;M;4;Graduate;Married;$80K - $120K;Blue;24;0;717;18;0
6407;32;M;3;Graduate;Married;$40K - $60K;Blue;18;963;1921;43;0.15
1438.3;38;M;2;Uneducated;Married;Less than $40K;Blue;27;0;2412;58;0
2672;37;M;3;Uneducated;Married;$80K - $120K;Blue;28;1259;2487;52;0.471
11948;37;F;3;High School;Married;Unknown;Blue;36;1281;2792;51;0.107
2677;47;F;2;Graduate;Single;Less than $40K;Blue;36;1390;2170;63;0.519
24703;52;F;3;Doctorate;Single;Unknown;Blue;36;1085;4776;63;0.044
2240;54;M;3;High School;Married;$60K - $80K;Blue;43;1580;1518;36;0.705
6052;53;M;3;College;Married;$80K - $120K;Blue;40;1720;1476;37;0.284
2562;33;F;3;College;Single;Less than $40K;Blue;23;1968;2256;70;0.768
15377;49;M;2;Graduate;Married;$60K - $80K;Blue;43;1516;1848;49;0.099
8654;37;M;0;Doctorate;Married;$120K +;Blue;22;0;850;18;0
1438.3;31;M;1;Uneducated;Married;$40K - $60K;Blue;24;0;2308;49;0
1438.3;43;M;3;Graduate;Single;$120K +;Blue;31;0;1867;45;0
16040;39;M;1;Uneducated;Married;$80K - $120K;Blue;26;1220;1923;49;0.076
2801;38;M;2;High School;Married;$40K - $60K;Blue;36;1980;1600;45;0.707
2658;62;F;1;Uneducated;Married;Less than $40K;Blue;49;1158;1809;41;0.436
12423;58;F;1;Unknown;Married;$40K - $60K;Blue;48;1910;1208;38;0.154
9347;39;F;2;High School;Married;Unknown;Blue;27;1988;2201;46;0.213
3143;30;M;2;College;Divorced;$40K - $60K;Blue;22;1075;2510;57;0.342
5106;46;M;4;Doctorate;Married;$80K - $120K;Blue;39;1539;3784;74;0.301
9871;39;M;2;College;Married;$60K - $80K;Blue;31;1061;1683;34;0.107
1525;53;F;1;College;Married;$40K - $60K;Blue;43;1411;1911;47;0.925
19630;34;M;1;Uneducated;Married;$120K +;Blue;36;1251;2286;39;0.064
12547;54;F;0;Graduate;Divorced;Less than $40K;Silver;36;1378;3360;56;0.11
17686;54;M;3;High School;Single;$80K - $120K;Blue;36;0;2047;46;0
3257;39;M;2;Uneducated;Married;$60K - $80K;Blue;28;2517;1534;35;0.773
4824;36;F;3;Graduate;Married;Less than $40K;Blue;28;2517;1516;32;0.522
8603;38;M;3;High School;Married;$40K - $60K;Blue;32;1046;1758;40;0.122
11498;45;M;4;Unknown;Married;$60K - $80K;Blue;36;1577;4014;70;0.137
3818;28;F;0;Graduate;Divorced;Less than $40K;Blue;23;584;2947;87;0.153
16594;37;F;1;High School;Single;Unknown;Blue;36;1931;2134;47;0.116
5387;57;M;0;Graduate;Married;$40K - $60K;Blue;48;2047;1546;36;0.38
2930;48;F;4;Graduate;Married;Less than $40K;Blue;36;773;1545;21;0.264
10023;33;M;0;Unknown;Single;$40K - $60K;Blue;36;504;2878;65;0.05
9303;38;M;1;Uneducated;Married;$60K - $80K;Blue;25;1599;2261;37;0.172
2956;36;M;3;Unknown;Married;$60K - $80K;Blue;36;2411;1896;31;0.816
2218;37;M;2;High School;Married;$60K - $80K;Blue;30;1266;1941;58;0.571
9959;36;M;1;Unknown;Married;$80K - $120K;Blue;26;0;2021;41;0
5335;54;F;3;Uneducated;Married;$40K - $60K;Blue;49;1373;1435;29;0.257
7187;52;M;1;Graduate;Married;$60K - $80K;Blue;43;2014;1159;26;0.28
2590;53;F;1;Graduate;Married;Less than $40K;Blue;39;1564;1188;40;0.604
4255;27;F;1;High School;Single;Less than $40K;Blue;19;1748;2236;57;0.411
2778;32;F;0;High School;Married;Less than $40K;Blue;26;2312;1680;33;0.832
10711;57;M;4;Graduate;Married;$120K +;Blue;51;1970;1180;29;0.184
16163;58;M;2;Uneducated;Single;$120K +;Blue;46;0;2171;48;0
2513;54;F;2;High School;Married;Less than $40K;Blue;45;1126;1454;30;0.448
3291;45;M;3;Graduate;Divorced;$60K - $80K;Blue;37;1607;1984;38;0.488
8917;36;F;2;Post-Graduate;Divorced;Less than $40K;Blue;25;1091;3327;80;0.122
4955;39;F;2;Graduate;Married;$40K - $60K;Blue;29;1157;1824;38;0.234
2909;39;F;1;Graduate;Married;$40K - $60K;Blue;30;1274;1532;26;0.438
34516;34;M;3;High School;Single;$80K - $120K;Silver;21;2517;2901;75;0.073
1438.3;54;F;2;Uneducated;Married;$40K - $60K;Blue;43;0;1707;41;0
14015;54;M;2;High School;Married;$80K - $120K;Blue;49;2065;1903;49;0.147
2540;36;M;2;Graduate;Married;$60K - $80K;Blue;28;1402;2384;61;0.552
3497;37;M;2;High School;Divorced;$120K +;Blue;24;1665;2337;61;0.476
3682;27;M;0;Uneducated;Married;$40K - $60K;Blue;15;0;1826;35;0
4430;55;F;4;Graduate;Single;Less than $40K;Blue;41;1543;3395;70;0.348
3877;26;M;0;Unknown;Single;Unknown;Blue;16;0;2473;33;0
15124;56;M;1;Graduate;Married;$60K - $80K;Blue;36;1974;1850;44;0.131
7712;58;F;2;Graduate;Married;Less than $40K;Blue;53;962;1574;34;0.125
19373;42;F;2;Graduate;Unknown;Unknown;Blue;34;1142;1792;48;0.059
21590;30;M;1;College;Single;Unknown;Blue;13;2517;2567;70;0.117
3657;38;M;1;High School;Married;$60K - $80K;Blue;32;1687;2758;55;0.461
32444;47;F;2;Uneducated;Divorced;Unknown;Silver;35;1843;3725;60;0.057
5830;33;F;1;Graduate;Single;$40K - $60K;Blue;24;1665;2263;60;0.286
1438.3;54;F;2;Post-Graduate;Married;Less than $40K;Blue;47;0;1154;22;0
6463;65;F;1;Graduate;Single;Unknown;Blue;55;1660;2336;49;0.257
2400;33;M;2;High School;Single;$60K - $80K;Blue;23;0;2677;70;0
2311;44;F;1;Doctorate;Divorced;Less than $40K;Blue;39;1830;1701;33;0.792
3585;57;F;3;Unknown;Married;$40K - $60K;Blue;48;1244;1344;37;0.347
9131;34;M;3;Uneducated;Married;$80K - $120K;Blue;25;916;1893;36;0.1
1438.3;63;F;0;Uneducated;Single;$40K - $60K;Blue;56;0;3630;71;0
1438.3;37;F;3;High School;Single;Less than $40K;Blue;31;0;2075;66;0
5471;39;M;2;Post-Graduate;Married;$60K - $80K;Blue;36;2056;1992;46;0.376
8823;39;M;2;High School;Married;$80K - $120K;Blue;34;1541;1961;32;0.175
2173;55;M;1;Graduate;Married;$60K - $80K;Blue;44;1520;1485;26;0.699
5616;37;M;2;Graduate;Single;$120K +;Blue;25;0;1564;31;0
8571;57;M;1;Doctorate;Married;$80K - $120K;Blue;51;1616;1397;28;0.189
2803;45;F;2;Graduate;Divorced;Less than $40K;Blue;36;0;3347;71;0
3924;53;M;4;Graduate;Married;$80K - $120K;Blue;36;2517;1417;30;0.641
5663;37;M;2;Graduate;Single;$60K - $80K;Blue;23;1149;2553;61;0.203
3955;60;F;0;Uneducated;Married;Less than $40K;Blue;49;2000;1560;43;0.506
7997;29;F;0;Uneducated;Single;Less than $40K;Blue;23;0;2208;56;0
3652;56;F;4;Uneducated;Married;Less than $40K;Blue;36;1351;1561;39;0.37
12702;37;M;2;Graduate;Married;$80K - $120K;Blue;27;2008;1992;40;0.158
7189;43;M;1;High School;Married;$60K - $80K;Blue;23;1550;1935;52;0.216
12421;58;M;1;Graduate;Married;$80K - $120K;Blue;42;2517;1913;49;0.203
2585;29;F;0;Post-Graduate;Divorced;Less than $40K;Blue;17;2008;3519;73;0.777
2818;38;M;2;High School;Married;$120K +;Blue;29;1656;2916;45;0.588
2351;65;M;1;Unknown;Single;Less than $40K;Blue;36;0;1593;35;0
3143;62;F;1;Graduate;Married;Less than $40K;Blue;49;2517;1323;25;0.801
6514;53;M;1;Graduate;Unknown;$80K - $120K;Blue;42;978;3084;63;0.15
3119;26;F;0;Graduate;Single;$40K - $60K;Blue;17;1328;2740;62;0.426
13092;46;F;3;High School;Single;Less than $40K;Silver;39;1962;936;25;0.15
1438.3;51;F;1;College;Married;$40K - $60K;Blue;44;0;2207;68;0
3702;39;M;2;Uneducated;Married;Less than $40K;Blue;34;1118;2585;64;0.302
9095;51;F;1;High School;Married;Unknown;Blue;36;2517;1347;27;0.277
2701;59;M;2;High School;Married;$40K - $60K;Blue;50;1572;1469;36;0.582
1813;56;M;3;Unknown;Married;$40K - $60K;Blue;45;1387;1468;32;0.765
5335;56;F;2;Graduate;Married;Unknown;Blue;36;996;1454;43;0.187
2469;31;M;1;Graduate;Married;$40K - $60K;Blue;20;1695;1615;36;0.687
3091;37;M;0;High School;Divorced;$40K - $60K;Blue;36;0;2572;65;0
2683;36;M;2;High School;Single;$40K - $60K;Blue;32;1533;2373;73;0.571
5464;26;F;1;Unknown;Single;Unknown;Blue;15;0;2473;46;0
2942;61;F;0;Graduate;Married;Less than $40K;Blue;53;2022;1479;28;0.687
2735;26;M;0;High School;Single;Less than $40K;Blue;36;1348;2441;58;0.493
15279;35;M;2;College;Married;$80K - $120K;Blue;36;1496;2079;57;0.098
14938;53;M;3;College;Married;$120K +;Blue;43;1155;2248;51;0.077
4328;59;M;2;High School;Married;Less than $40K;Blue;42;670;1580;54;0.155
34516;37;M;1;Graduate;Single;$80K - $120K;Blue;24;934;1768;52;0.027
5824;38;M;3;High School;Married;$60K - $80K;Blue;26;1542;1801;44;0.265
11281;56;F;5;Doctorate;Married;Unknown;Blue;48;2118;1255;30;0.188
7959;37;M;2;Uneducated;Married;$60K - $80K;Blue;36;998;1855;29;0.125
4459;33;M;1;Graduate;Married;$120K +;Blue;21;1899;2502;48;0.426
17162;38;M;2;College;Married;$80K - $120K;Blue;24;773;2457;54;0.045
16254;56;M;1;Uneducated;Married;$120K +;Blue;50;1518;2502;55;0.093
3278;59;M;0;High School;Married;$80K - $120K;Blue;47;1306;1374;32;0.398
7173;30;M;1;Post-Graduate;Married;Less than $40K;Blue;17;1227;1793;33;0.171
3295;56;M;2;High School;Married;$40K - $60K;Blue;36;2002;1191;34;0.608
25033;33;M;2;Unknown;Single;$120K +;Blue;15;2300;2529;71;0.092
4232;31;M;0;Graduate;Divorced;$60K - $80K;Blue;24;2092;2565;69;0.494
2703;26;M;1;College;Single;$40K - $60K;Blue;36;1256;2111;29;0.465
2710;29;M;1;Graduate;Married;Less than $40K;Blue;18;629;1718;37;0.232
2322;53;F;2;Uneducated;Married;Less than $40K;Blue;42;1284;1573;27;0.553
5931;35;F;0;High School;Single;Less than $40K;Blue;36;0;2730;71;0
3300;35;M;2;Uneducated;Unknown;$120K +;Blue;29;1731;1745;27;0.525
1438.3;56;F;4;High School;Married;Less than $40K;Blue;51;0;1354;24;0
34516;35;F;1;Uneducated;Single;Unknown;Silver;27;0;2562;62;0
8682;35;M;3;Uneducated;Married;$40K - $60K;Blue;36;1647;1792;36;0.19
12616;32;M;1;High School;Divorced;$60K - $80K;Blue;13;0;1376;29;0
9652;49;M;4;College;Unknown;Less than $40K;Blue;43;2517;3762;73;0.261
1651;36;M;4;Graduate;Divorced;$120K +;Blue;29;770;2516;54;0.466
2576;37;M;3;Unknown;Married;$60K - $80K;Blue;29;1640;2568;34;0.637
2212;58;M;1;High School;Married;$60K - $80K;Blue;47;1392;1387;34;0.629
2157;35;F;2;High School;Married;Less than $40K;Blue;21;1188;2111;59;0.551
2575;39;F;2;Graduate;Married;$40K - $60K;Blue;26;1424;1487;33;0.553
8705;65;F;0;Uneducated;Single;Less than $40K;Blue;56;1453;2688;88;0.167
3838;65;M;0;High School;Married;Less than $40K;Blue;56;1736;1467;29;0.452
10306;51;M;2;Unknown;Married;$120K +;Blue;42;1427;1456;44;0.138
5366;56;F;1;Uneducated;Married;$40K - $60K;Blue;40;1271;1748;38;0.237
2994;58;M;0;High School;Married;$80K - $120K;Blue;36;2351;1540;32;0.785
4247;39;M;1;Uneducated;Married;Less than $40K;Blue;36;0;847;17;0
1737;51;F;1;College;Single;Less than $40K;Blue;36;1145;1954;42;0.659
18431;58;M;4;Uneducated;Single;$40K - $60K;Silver;50;902;2950;61;0.049
2263;34;F;3;Graduate;Married;Less than $40K;Blue;23;1794;2154;37;0.793
2718;39;M;3;Unknown;Single;$80K - $120K;Blue;23;2156;1711;36;0.793
5839;54;F;1;College;Married;Unknown;Blue;43;2130;1640;44;0.365
5137;26;F;2;High School;Single;Unknown;Blue;13;0;2496;49;0
11909;53;M;1;Graduate;Single;$80K - $120K;Blue;43;1018;1938;53;0.085
21390;32;M;3;College;Single;$80K - $120K;Blue;21;0;2477;59;0
9264;49;M;3;High School;Married;$60K - $80K;Blue;39;629;4107;79;0.068
5484;39;F;2;Uneducated;Married;Less than $40K;Blue;26;2517;2025;51;0.459
4739;32;M;2;Graduate;Married;$40K - $60K;Blue;22;0;886;21;0
7970;30;M;1;College;Divorced;Less than $40K;Blue;19;0;1284;30;0
3127;37;M;1;Uneducated;Single;$80K - $120K;Blue;36;2378;2292;49;0.76
7756;38;M;2;Uneducated;Single;$40K - $60K;Blue;36;1670;1858;51;0.215
34516;46;M;2;Uneducated;Single;$120K +;Blue;33;676;3508;58;0.02
5605;36;M;2;Uneducated;Married;$60K - $80K;Blue;36;1322;2338;41;0.236
2946;33;M;1;Post-Graduate;Married;$80K - $120K;Blue;36;1359;2017;48;0.461
8886;58;F;3;Post-Graduate;Single;Less than $40K;Blue;54;0;4148;79;0
3104;46;M;4;Doctorate;Married;$120K +;Blue;36;862;2781;74;0.278
19435;39;M;5;Unknown;Married;$80K - $120K;Blue;36;2120;2062;55;0.109
3312;54;F;2;Doctorate;Married;Less than $40K;Blue;46;1624;1973;55;0.49
34516;50;M;3;High School;Married;$120K +;Blue;40;0;1930;36;0
5246;41;M;3;College;Single;$60K - $80K;Blue;33;0;3189;56;0
2432;53;M;1;Graduate;Unknown;$60K - $80K;Blue;41;1554;3670;60;0.639
3103;36;F;5;Graduate;Married;Less than $40K;Blue;30;2399;1836;48;0.773
30746;38;M;3;Unknown;Married;$120K +;Blue;33;1168;1519;43;0.038
34516;55;F;2;College;Single;Unknown;Silver;36;0;1353;40;0
11962;45;M;4;College;Unknown;$120K +;Blue;40;1025;1907;52;0.086
14690;36;M;2;High School;Single;$80K - $120K;Blue;27;979;2746;68;0.067
6629;45;M;1;Graduate;Single;$40K - $60K;Blue;32;1389;3891;69;0.21
5535;38;M;4;Graduate;Married;$40K - $60K;Blue;27;1276;1764;38;0.231
2544;35;F;2;High School;Married;Less than $40K;Blue;22;1848;2289;49;0.726
3305;48;M;3;College;Married;Less than $40K;Blue;37;2517;2027;57;0.762
34516;51;M;2;Uneducated;Single;$120K +;Blue;36;888;1959;42;0.026
9466;37;F;1;College;Single;Unknown;Blue;20;0;2503;70;0
5297;33;F;2;Doctorate;Single;Unknown;Blue;21;0;2655;62;0
4260;31;M;1;College;Married;$80K - $120K;Blue;36;1775;2109;52;0.417
7291;40;F;4;College;Single;Less than $40K;Blue;26;2517;2198;56;0.345
13882;43;M;4;High School;Unknown;$80K - $120K;Blue;37;758;1646;42;0.055
6500;63;M;0;Graduate;Married;$40K - $60K;Blue;56;1786;1497;27;0.275
1626;35;F;4;Unknown;Married;Less than $40K;Blue;30;979;2847;61;0.602
6662;31;F;1;High School;Single;Less than $40K;Blue;22;0;3264;83;0
5846;36;M;4;Uneducated;Married;$80K - $120K;Blue;25;1732;2056;41;0.296
8063;34;M;1;High School;Married;$60K - $80K;Blue;27;2149;2042;49;0.267
6224;29;M;0;Unknown;Married;$60K - $80K;Blue;23;1092;2222;39;0.175
4597;55;M;1;Doctorate;Married;$60K - $80K;Blue;49;2442;1504;38;0.531
7869;46;M;2;Graduate;Single;$40K - $60K;Blue;31;0;998;25;0
17884;45;M;2;College;Married;$60K - $80K;Blue;35;2096;2031;49;0.117
1438.3;52;F;0;Doctorate;Single;Less than $40K;Blue;36;978;947;33;0.68
2046;40;F;3;High School;Married;Less than $40K;Blue;32;1694;3432;49;0.828
6370;46;F;4;Uneducated;Married;Less than $40K;Blue;36;0;1783;40;0
2737;54;F;2;Graduate;Married;Less than $40K;Blue;46;2517;1619;37;0.92
2622;36;M;1;Graduate;Single;Less than $40K;Blue;25;2489;2717;79;0.949
7266;44;M;3;Graduate;Married;$40K - $60K;Blue;33;906;1741;27;0.125
2258;37;F;2;Uneducated;Single;Less than $40K;Blue;30;1338;2511;55;0.593
6510;35;M;3;Graduate;Single;$80K - $120K;Blue;25;2055;2238;49;0.316
2508;64;F;0;Unknown;Married;Unknown;Blue;55;1580;1607;44;0.63
4006;52;F;2;Uneducated;Married;Unknown;Blue;36;2517;1157;34;0.628
3252;37;F;5;High School;Single;$40K - $60K;Blue;19;1987;2953;72;0.611
16317;45;F;4;Uneducated;Married;Unknown;Blue;26;0;2944;71;0
2109;28;M;1;Unknown;Single;$40K - $60K;Blue;15;1542;2261;56;0.731
7023;65;F;1;Graduate;Married;Less than $40K;Blue;56;1726;2535;51;0.246
8302;55;M;0;Graduate;Married;$120K +;Blue;42;2517;1576;34;0.303
9959;55;M;2;Graduate;Married;$80K - $120K;Blue;47;1209;1584;28;0.121
3636;41;M;4;Uneducated;Single;$40K - $60K;Blue;36;1884;4254;79;0.518
5184;57;F;2;High School;Married;Less than $40K;Blue;46;1856;1834;55;0.358
14575;37;M;2;High School;Single;$60K - $80K;Blue;29;0;3444;80;0
3107;29;M;0;College;Divorced;Unknown;Blue;15;1720;2460;71;0.554
1438.3;62;F;0;College;Married;$40K - $60K;Blue;49;0;1281;32;0
3092;42;M;4;College;Unknown;$60K - $80K;Blue;25;1115;2133;41;0.361
8322;47;F;1;Graduate;Married;Less than $40K;Blue;36;0;3700;62;0
10110;44;F;0;Graduate;Married;Less than $40K;Silver;36;1229;4063;74;0.122
2707;34;F;1;High School;Married;Less than $40K;Blue;28;2036;1926;33;0.752
4397;37;M;1;Graduate;Single;Unknown;Blue;32;2007;2473;47;0.456
5795;33;F;2;Graduate;Single;Unknown;Blue;21;0;2322;65;0
9760;40;M;4;Uneducated;Married;$80K - $120K;Blue;23;1657;4542;86;0.17
6103;51;M;2;Doctorate;Single;$40K - $60K;Blue;40;0;3203;64;0
2246;65;M;1;High School;Married;$40K - $60K;Blue;56;1326;1429;32;0.59
